Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.194.95-10.100.56.126-443-33566-6,172.217.194.95,443,10.100.56.126,33566,6,24/06/2019 01:45:55 PM,15179103,3,1,0,0,0,0,0,0,0,0,0,0,0,0.263520183,5059701,8122492.262,1.44E+07,72193,1.45E+07,7252244.5,1.02E+07,1.44E+07,72193,0,0,0,0,0,0,0,0,0,72,32,0.197640137,0.065880046,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,29200,0,0,746807,0,746807,746807,1.44E+07,0,1.44E+07,1.44E+07,No Label
10.100.56.78-120.89.99.32-34245-443-6,120.89.99.32,443,10.100.56.78,34245,6,24/06/2019 01:31:29 PM,59143470,165,1,221661,0,1460,0,1343.4,355.5790845,0,0,0,0,3747.852468,2.806734201,358445.2727,3313574.206,4.26E+07,661,5.88E+07,358548.5122,3323722.736,4.26E+07,661,0,0,0,0,0,0,0,0,0,3312,32,2.789826163,0.016908037,0,1460,1327.311377,382.6178361,146396.4085,0,1,0,0,1,0,0,0,0,1335.307229,1343.4,0,0,0,0,0,0,0,165,221661,1,0,-1,29200,161,0,1.66E+07,0,1.66E+07,1.66E+07,4.26E+07,0,4.26E+07,4.26E+07,No Label
10.100.56.120-103.5.150.9-51325-53-17,10.100.56.120,51325,103.5.150.9,53,17,24/06/2019 01:25:21 PM,166302,1,3,43,305,43,43,43,0,131,54,101.6666667,41.64532787,2092.578562,24.05262715,55434,92789.50796,162563,312,0,0,0,0,0,166302,83151,112305.5274,162563,3739,0,0,0,0,8,24,6.013156787,18.03947036,43,131,80.4,41.59687488,1730.3,0,0,0,0,0,0,0,0,3,100.5,43,101.6666667,0,0,0,0,0,0,1,43,3,305,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.100.56.74-120.89.97.14-38324-443-6,120.89.97.14,443,10.100.56.74,38324,6,24/06/2019 01:21:03 PM,8284,2,1,147,0,147,0,73.5,103.9446968,0,0,0,0,17745.0507,362.1438918,4142,5849.187294,8278,6,8278,8278,0,8278,8278,0,0,0,0,0,0,0,0,0,64,32,241.4292612,120.7146306,0,147,36.75,73.5,5402.25,0,0,0,0,1,0,0,0,0,49,73.5,0,0,0,0,0,0,0,2,147,1,0,-1,261,1,0,0,0,0,0,0,0,0,0,No Label
10.100.56.188-74.125.200.95-35370-443-6,74.125.200.95,443,10.100.56.188,35370,6,24/06/2019 01:07:30 PM,90923,1,1,0,0,0,0,0,0,0,0,0,0,0,21.99663451,90923,0,90923,90923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.99831726,10.99831726,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,274,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-103.5.150.9-51984-53-17,10.100.56.120,51984,103.5.150.9,53,17,24/06/2019 01:45:52 PM,114104,0,2,0,288,0,0,0,0,235,53,144,128.6934342,2524.013181,17.52786931,114104,0,114104,114104,0,0,0,0,0,114104,114104,0,114104,114104,0,0,0,0,0,16,0,17.52786931,53,235,113.6666667,105.077749,11041.33333,0,0,0,0,0,0,0,0,0,170.5,0,144,0,0,0,0,0,0,0,0,2,288,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.10-10.100.56.21-443-40178-6,172.217.160.10,443,10.100.56.21,40178,6,24/06/2019 01:16:17 PM,1202041,3,1,0,0,0,0,0,0,0,0,0,0,0,3.327673515,400680.3333,667633.9922,1171595,13468,1188573,594286.5,816437.5104,1171595,16978,0,0,0,0,0,0,0,0,0,84,32,2.495755136,0.831918379,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.227-74.125.200.95-35274-443-6,74.125.200.95,443,10.100.56.227,35274,6,24/06/2019 01:49:24 PM,65862,1,1,0,0,0,0,0,0,0,0,0,0,0,30.36652394,65862,0,65862,65862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,15.18326197,15.18326197,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.49-74.125.200.138-38760-443-6,74.125.200.138,443,10.100.56.49,38760,6,24/06/2019 01:23:05 PM,64532,0,2,0,0,0,0,0,0,0,0,0,0,0,30.99237588,64532,0,64532,64532,0,0,0,0,0,64532,64532,0,64532,64532,0,0,0,0,0,40,0,30.99237588,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,753,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.45-34.232.242.42-33550-443-6,10.100.56.45,33550,34.232.242.42,443,6,24/06/2019 01:26:56 PM,109076,0,2,0,0,0,0,0,0,0,0,0,0,0,18.33583923,109076,0,109076,109076,0,0,0,0,0,109076,109076,0,109076,109076,0,0,0,0,0,52,0,18.33583923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
